用户id,最后一周登录天数,最后一周登录次数,最后一周0.8点登录次数,最后一周8.18点登录次数,最后一周18.24点登录次数,注册至今距离天数,是否付费
1000122004,3,22,5,9,8,20,0
1000122005,5,12,1,6,5,28,0
1000122006,2,9,3,2,4,21,0
1000122007,1,14,7,5,2,20,0
1000122008,1,15,9,3,3,21,0
1000122009,2,16,9,6,1,30,0
1000122010,6,20,4,8,8,21,0
1000122011,4,11,3,7,1,8,0
1000122012,4,20,8,5,7,18,0
1000122013,5,16,7,1,8,9,0
1000122014,6,10,5,4,1,21,0
1000122015,4,19,8,3,8,29,0
1000122016,1,23,7,8,8,29,0
1000122017,1,16,2,7,7,27,0
1000122018,1,4,1,2,1,28,0
1000122019,1,14,2,3,9,19,0
1000122020,1,14,7,5,2,17,0
1000122021,3,13,3,2,8,13,0
1000122022,6,14,8,5,1,6,0
1000122023,6,16,2,8,6,3,0
1000122024,3,22,6,8,8,7,0
1000122025,4,17,4,9,4,18,0
1000122026,2,16,8,1,7,13,0
1000122027,4,15,5,7,3,16,0
1000122028,6,17,5,4,8,17,0
1000122029,4,15,2,6,7,15,0
1000122030,2,16,4,7,5,27,0
1000122031,2,14,1,4,9,14,0
1000122032,3,21,7,6,8,30,0
1000122033,4,11,2,6,3,7,0
1000122034,4,10,2,4,4,20,0
1000122035,1,17,3,8,6,27,0
1000122036,1,15,6,3,6,29,0
1000122037,1,18,9,1,8,9,0
1000122038,3,14,6,2,6,21,0
1000122039,4,18,7,3,8,15,0
1000122040,1,20,8,4,8,5,0
1000122041,6,15,2,9,4,15,0
1000122042,5,17,8,7,2,7,0
1000122043,3,6,4,1,1,11,0
1000122044,4,22,6,8,8,8,0
1000122045,3,13,4,5,4,21,0
1000122046,5,19,8,7,4,29,0
1000122047,6,12,6,3,3,12,0
1000122048,5,18,6,7,5,6,0
1000122049,2,16,7,5,4,13,0
1000122050,4,21,9,4,8,28,0
1000122051,2,18,7,4,7,22,0
1000122052,1,13,2,5,6,30,0
1000122053,2,16,8,1,7,20,0
1000122054,1,13,2,8,3,6,0
1000122055,6,20,8,8,4,19,0
1000122056,2,9,6,2,1,10,0
1000122057,2,21,4,9,8,10,0
1000122058,3,21,9,3,9,8,0
1000122059,3,17,7,5,5,4,0
1000122060,5,14,3,4,7,18,0
1000122061,5,14,3,4,7,20,0
1000122062,5,13,5,1,7,15,0
1000122063,2,16,4,7,5,10,0
1000122064,1,20,9,7,4,24,0
1000122065,5,9,1,3,5,21,0
1000122066,6,6,2,1,3,5,0
1000122067,3,15,5,8,2,23,0
1000122068,4,11,5,3,3,4,0
1000122069,4,17,8,3,6,20,0
1000122070,6,14,2,7,5,23,0
1000122071,4,15,8,2,5,30,0
1000122072,1,19,8,9,2,24,0
1000122073,1,17,9,2,6,26,0
1000122074,2,16,8,2,6,23,0
1000122075,3,7,1,3,3,9,0
1000122076,6,14,5,4,5,5,0
1000122077,6,11,5,2,4,13,0
1000122078,4,19,9,4,6,30,0
1000122079,4,11,4,5,2,12,0
1000122080,4,17,4,5,8,7,0
1000122081,2,20,9,2,9,4,0
1000122082,1,19,8,7,4,15,0
1000122083,1,17,8,6,3,3,0
1000122084,6,17,1,7,9,25,0
1000122085,6,13,9,1,3,9,0
1000122086,1,4,1,2,1,3,0
1000122087,1,13,3,4,6,19,0
1000122088,2,14,4,4,6,15,0
1000122089,2,11,2,5,4,12,0
1000122090,3,6,3,2,1,14,0
1000122091,6,10,1,7,2,2,0
1000122092,6,21,9,6,6,7,0
1000122093,1,13,6,5,2,21,0
1000122094,2,14,1,7,6,16,0
1000122095,6,20,5,6,9,27,0
1000122096,1,17,6,8,3,13,0
1000122097,5,11,3,6,2,1,0
1000122098,3,13,5,4,4,11,0
1000122099,5,21,5,8,8,28,0
1000122100,1,18,4,8,6,13,0
1000122101,1,11,8,1,2,2,0
1000122102,6,27,9,9,9,11,0
1000122103,2,17,5,7,5,9,0
1000122104,6,21,9,9,3,18,0
1000122105,4,10,2,6,2,29,0
1000122106,1,19,5,5,9,24,0
1000122107,2,14,4,9,1,23,0
1000122108,1,16,3,6,7,16,0
1000122109,3,14,4,6,4,7,0
1000122110,1,18,9,7,2,20,0
1000122111,3,16,8,2,6,24,0
1000122112,4,23,6,9,8,20,0
1000122113,2,23,5,9,9,16,0
1000122114,5,17,9,7,1,13,0
1000122115,4,18,5,4,9,28,0
1000122116,2,7,3,2,2,3,0
1000122117,1,21,8,7,6,16,0
1000122118,4,16,5,2,9,5,0
1000122119,4,19,7,9,3,30,0
1000122120,2,13,5,1,7,1,0
1000122121,1,7,1,3,3,13,0
1000122122,1,21,6,7,8,14,0
1000122123,5,11,1,3,7,27,0
1000122124,2,18,8,1,9,17,0
1000122125,5,18,3,7,8,8,0
1000122126,1,25,8,8,9,21,0
1000122127,1,14,3,9,2,30,0
1000122128,1,19,7,8,4,2,0
1000122129,2,11,2,1,8,15,0
1000122130,2,9,5,3,1,16,0
1000122131,5,14,4,7,3,26,0
1000122132,2,15,9,5,1,1,0
1000122133,2,12,6,3,3,13,0
1000122134,4,20,2,9,9,29,0
1000122135,4,15,6,4,5,18,0
1000122136,6,20,4,8,8,21,0
1000122137,5,18,8,3,7,6,0
1000122138,5,15,6,7,2,13,0
1000122139,6,16,8,1,7,8,0
1000122140,3,16,2,7,7,17,0
1000122141,6,9,3,1,5,3,0
1000122142,2,17,6,2,9,12,0
1000122143,1,12,2,5,5,25,0
1000122144,2,11,3,2,6,26,0
1000122145,5,15,1,6,8,9,0
1000122146,1,6,1,4,1,23,0
1000122147,6,13,2,8,3,23,0
1000122148,6,12,6,2,4,4,0
1000122149,5,13,2,3,8,19,0
1000122150,6,20,7,8,5,5,0
1000122151,3,20,5,9,6,2,0
1000122152,2,15,7,4,4,16,0
1000122153,1,19,8,9,2,22,0
1000122154,6,15,7,1,7,25,0
1000122155,1,17,1,9,7,15,0
1000122156,4,22,9,7,6,14,0
1000122157,6,12,8,1,3,25,0
1000122158,1,14,4,5,5,27,0
1000122159,5,12,3,8,1,29,0
1000122160,4,15,4,8,3,23,0
1000122161,2,25,8,9,8,26,0
1000122162,5,11,5,4,2,15,0
1000122163,1,4,2,1,1,9,0
1000122164,5,19,9,1,9,16,0
1000122165,6,12,3,1,8,3,0
1000122166,2,11,2,6,3,13,0
1000122167,4,20,7,8,5,4,0
1000122168,2,14,4,7,3,1,0
1000122169,5,17,5,8,4,17,0
1000122170,1,17,5,7,5,19,0
1000122171,6,19,2,8,9,23,0
1000122172,2,19,4,7,8,15,0
1000122173,2,11,1,9,1,12,0
1000122174,5,20,7,6,7,16,0
1000122175,2,16,3,4,9,28,0
1000122176,1,23,7,9,7,1,0
1000122177,1,21,4,8,9,28,0
1000122178,3,20,9,9,2,30,0
1000122179,1,19,6,7,6,20,0
1000122180,4,17,6,8,3,25,0
1000122181,1,26,8,9,9,7,0
1000122182,2,14,4,4,6,28,0
1000122183,2,15,9,4,2,15,0
1000122184,4,14,2,8,4,17,0
1000122185,2,17,6,7,4,9,0
1000122186,4,15,1,9,5,10,0
1000122187,4,14,6,7,1,2,0
1000122188,2,17,4,9,4,16,0
1000122189,1,13,6,3,4,11,0
1000122190,4,21,8,8,5,23,0
1000122191,6,15,7,2,6,2,0
1000122192,3,7,4,2,1,24,0
1000122193,5,21,6,6,9,5,0
1000122194,4,18,8,8,2,5,0
1000122195,4,16,6,8,2,14,0
1000122196,5,20,8,5,7,12,0
1000122197,3,19,9,5,5,17,0
1000122198,4,19,5,8,6,18,0
1000122199,6,22,8,7,7,16,0
1000122200,4,19,3,9,7,26,0
1000122201,4,15,2,5,8,11,0
1000122202,6,12,2,3,7,5,0
1000122203,3,17,5,9,3,11,0
1000122204,6,15,2,6,7,17,0
1000122205,1,9,5,1,3,1,0
1000122206,1,16,5,7,4,3,0
1000122207,5,12,2,8,2,20,0
1000122208,4,21,4,9,8,8,0
1000122209,3,14,1,8,5,18,0
1000122210,1,8,1,2,5,8,0
1000122211,6,15,5,7,3,13,0
1000122212,3,16,1,8,7,22,0
1000122213,5,20,4,9,7,8,0
1000122214,3,19,7,8,4,8,0
1000122215,4,18,9,2,7,19,0
1000122216,5,16,7,7,2,11,0
1000122217,5,17,9,3,5,22,0
1000122218,1,12,7,2,3,22,0
1000122219,6,25,9,7,9,2,0
1000122220,1,17,1,8,8,5,0
1000122221,2,17,3,9,5,4,0
1000122222,3,22,9,5,8,8,0
1000122223,6,22,6,7,9,17,0
1000122224,4,13,6,2,5,29,0
1000122225,4,17,7,1,9,23,0
1000122226,1,14,3,8,3,12,0
1000122227,6,10,4,4,2,7,0
1000122228,2,18,7,2,9,14,0
1000122229,5,21,8,7,6,8,0
1000122230,3,13,2,8,3,13,0
1000122231,6,14,3,2,9,13,0
1000122232,2,12,4,5,3,20,0
1000122233,4,20,9,4,7,1,0
1000122234,2,15,6,3,6,21,0
1000122235,5,15,4,4,7,21,0
1000122236,4,14,3,9,2,20,0
1000122237,2,11,5,2,4,2,0
1000122238,5,12,3,2,7,26,0
1000122239,5,13,2,5,6,27,0
1000122240,1,11,4,2,5,8,0
1000122241,5,14,3,3,8,24,0
1000122242,4,26,8,9,9,24,0
1000122243,3,13,2,5,6,18,0
1000122244,1,12,4,7,1,2,0
1000122245,6,9,3,5,1,25,0
1000122246,4,12,2,1,9,24,0
1000122247,2,17,6,3,8,26,0
1000122248,6,13,5,4,4,29,0
1000122249,3,22,7,6,9,24,0
1000122250,4,13,7,1,5,29,0
1000122251,1,23,8,9,6,14,0
1000122252,5,18,4,9,5,19,0
1000122253,5,13,1,6,6,12,0
1000122254,2,20,8,7,5,13,0
1000122255,2,18,3,8,7,9,0
1000122256,5,18,3,8,7,27,0
1000122257,6,10,4,4,2,27,0
1000122258,2,16,7,2,7,5,0
1000122259,3,10,2,6,2,12,0
1000122260,3,19,2,9,8,20,0
1000122261,4,20,9,9,2,25,0
1000122262,4,21,8,5,8,8,0
1000122263,2,13,6,5,2,12,0
1000122264,6,7,1,3,3,19,0
1000122265,6,19,9,2,8,13,0
1000122266,5,20,8,9,3,4,0
1000122267,2,12,9,1,2,2,0
1000122268,6,17,4,4,9,13,0
1000122269,4,15,8,1,6,18,0
1000122270,3,14,2,8,4,2,0
1000122271,6,17,5,5,7,28,0
1000122272,4,17,1,7,9,21,0
1000122273,4,17,6,9,2,22,0
1000122274,5,12,3,3,6,24,0
1000122275,3,19,9,9,1,29,0
1000122276,6,14,4,9,1,16,0
1000122277,5,24,9,8,7,19,0
1000122278,4,18,4,9,5,20,0
1000122279,6,9,2,1,6,4,0
1000122280,1,11,5,3,3,24,0
1000122281,6,19,4,6,9,6,0
1000122282,6,25,8,9,8,4,0
1000122283,4,25,8,8,9,3,0
1000122284,1,16,9,4,3,8,0
1000122285,1,14,2,9,3,16,0
1000122286,5,21,8,6,7,30,0
1000122287,1,13,2,4,7,26,0
1000122288,4,13,2,3,8,2,0
1000122289,3,15,2,9,4,3,0
1000122290,6,9,3,2,4,16,0
1000122291,1,11,1,9,1,9,0
1000122292,1,13,5,7,1,27,0
1000122293,2,11,5,3,3,1,0
1000122294,6,15,6,1,8,4,0
1000122295,6,11,6,1,4,17,0
1000122296,5,15,6,8,1,26,0
1000122297,6,20,8,6,6,8,0
1000122298,2,11,5,3,3,10,0
1000122299,1,16,9,2,5,30,0
1000122300,2,16,7,7,2,7,0
1000122301,1,16,7,4,5,21,0
1000122302,6,13,3,7,3,14,0
1000122303,2,18,9,5,4,23,0
1000122304,1,16,4,7,5,14,0
1000122305,5,13,3,9,1,9,0
1000122306,5,21,8,5,8,17,0
1000122307,3,14,8,4,2,15,0
1000122308,3,6,3,1,2,10,0
1000122309,5,13,1,7,5,17,0
1000122310,5,17,2,7,8,2,0
1000122311,1,23,6,9,8,14,0
1000122312,1,15,7,5,3,21,0
1000122313,3,13,2,8,3,6,0
1000122314,1,15,9,3,3,15,0
1000122315,3,16,8,5,3,29,0
1000122316,5,12,2,9,1,14,0
1000122317,1,7,4,1,2,1,0
1000122318,2,8,3,2,3,9,0
1000122319,1,12,1,7,4,27,0
1000122320,2,17,8,6,3,11,0
1000122321,4,19,9,1,9,14,0
1000122322,5,8,4,3,1,5,0
1000122323,2,15,9,3,3,22,0
1000122324,1,21,9,6,6,1,0
1000122325,2,16,5,2,9,27,0
1000122326,1,17,5,6,6,26,0
1000122327,2,17,7,5,5,21,0
1000122328,5,21,4,9,8,17,0
1000122329,5,10,3,4,3,30,0
1000122330,3,24,9,9,6,26,0
1000122331,2,18,8,1,9,6,0
1000122332,2,16,5,8,3,21,0
1000122333,1,15,4,4,7,27,0
1000122334,5,17,8,6,3,8,0
1000122335,2,14,5,7,2,3,0
1000122336,6,18,4,6,8,21,0
1000122337,6,11,1,2,8,29,0
1000122338,6,14,5,8,1,24,0
1000122339,1,21,3,9,9,18,0
1000122340,6,11,3,6,2,21,0
1000122341,3,15,3,5,7,2,0
1000122342,5,15,3,9,3,9,0
1000122343,1,16,2,7,7,15,0
1000122344,6,14,1,7,6,18,0
1000122345,6,23,6,8,9,29,0
1000122346,4,8,5,1,2,16,0
1000122347,3,9,1,5,3,25,0
1000122348,4,14,4,8,2,1,0
1000122349,6,10,3,1,6,18,0
1000122350,5,16,9,4,3,30,0
1000122351,5,8,1,5,2,24,0
1000122352,3,9,3,2,4,9,0
1000122353,1,15,2,6,7,14,0
1000122354,4,19,5,5,9,12,0
1000122355,4,8,1,2,5,1,0
1000122356,2,17,5,6,6,23,0
1000122357,6,11,3,2,6,27,0
1000122358,1,19,7,3,9,7,0
1000122359,2,17,7,1,9,16,0
1000122360,2,15,7,2,6,24,0
1000122361,6,11,4,4,3,24,0
1000122362,6,17,2,7,8,25,0
1000122363,4,3,1,1,1,2,0
1000122364,1,20,6,9,5,4,0
1000122365,1,20,8,8,4,20,0
1000122366,5,11,5,4,2,8,0
1000122367,1,25,9,8,8,21,0
1000122368,2,16,6,4,6,16,0
1000122369,4,13,7,4,2,29,0
1000122370,6,16,4,3,9,16,0
1000122371,2,16,6,2,8,8,0
1000122372,4,14,5,6,3,30,0
1000122373,3,13,3,4,6,9,0
1000122374,3,5,1,2,2,23,0
1000122375,3,9,2,4,3,24,0
1000122376,5,20,6,5,9,23,0
1000122377,3,11,4,2,5,7,0
1000122378,6,18,8,3,7,8,0
1000122379,6,9,3,4,2,27,0
1000122380,5,11,2,6,3,7,0
1000122381,1,11,6,4,1,29,0
1000122382,4,15,4,4,7,27,0
1000122383,3,18,3,8,7,26,0
1000122384,3,12,7,2,3,7,0
1000122385,2,15,4,8,3,30,0
1000122386,5,21,5,8,8,15,0
1000122387,2,8,5,1,2,3,0
1000122388,1,14,8,5,1,21,0
1000122389,4,14,7,4,3,5,0
1000122390,3,13,4,7,2,12,0
1000122391,3,21,6,7,8,17,0
1000122392,1,18,2,7,9,28,0
1000122393,3,20,9,5,6,23,0
1000122394,4,18,9,6,3,28,0
1000122395,3,6,2,3,1,21,0
1000122396,1,12,4,2,6,3,0
1000122397,4,14,7,5,2,16,0
1000122398,3,19,3,7,9,14,0
1000122399,4,15,6,8,1,4,0
1000122400,5,17,5,5,7,21,0
1000122401,6,23,9,8,6,3,0
1000122402,1,14,9,2,3,2,0
1000122403,4,13,8,4,1,1,0
1000122404,4,12,6,1,5,9,0
1000122405,5,21,9,9,3,1,0
1000122406,2,12,4,1,7,8,0
1000122407,2,12,8,3,1,14,0
1000122408,6,18,5,5,8,17,0
1000122409,6,15,4,3,8,16,0
1000122410,5,21,9,9,3,2,0
1000122411,5,15,5,3,7,29,0
1000122412,3,7,4,2,1,15,0
1000122413,4,11,3,4,4,27,0
1000122414,2,25,9,8,8,9,0
1000122415,2,22,8,7,7,14,0
1000122416,2,17,8,2,7,6,0
1000122417,6,13,8,2,3,3,0
1000122418,4,20,9,6,5,29,0
1000122419,3,23,5,9,9,13,0
1000122420,1,14,9,4,1,1,0
1000122421,3,14,1,5,8,22,0
1000122422,4,17,9,3,5,20,0
1000122423,3,17,9,2,6,14,0
1000122424,3,12,4,2,6,21,0
1000122425,4,9,3,2,4,23,0
1000122426,2,20,8,6,6,25,0
1000122427,2,20,6,6,8,17,0
1000122428,4,18,6,9,3,3,0
1000122429,6,8,1,2,5,21,0
1000122430,1,11,3,7,1,10,0
1000122431,6,23,9,6,8,28,0
1000122432,1,13,5,2,6,8,0
1000122433,3,15,1,8,6,24,0
1000122434,1,17,8,4,5,16,0
1000122435,2,11,3,7,1,20,0
1000122436,4,25,9,9,7,6,0
1000122437,6,9,1,1,7,7,0
1000122438,6,13,7,4,2,7,0
1000122439,5,18,2,8,8,25,0
1000122440,5,18,6,3,9,5,0
1000122441,2,20,8,6,6,9,0
1000122442,1,16,8,3,5,12,0
1000122443,5,13,3,7,3,18,0
1000122444,3,15,6,2,7,1,0
1000122445,2,18,9,2,7,25,0
1000122446,4,12,4,6,2,24,0
1000122447,5,17,8,2,7,20,0
1000122448,5,16,8,1,7,15,0
1000122449,1,10,1,8,1,15,0
1000122450,4,6,2,3,1,23,0
1000122451,1,13,5,4,4,10,0
1000122452,3,18,5,4,9,12,0
1000122453,2,14,4,4,6,25,0
1000122454,6,19,4,9,6,18,0
1000122455,2,8,1,3,4,19,0
1000122456,5,16,5,9,2,9,0
1000122457,1,18,3,8,7,9,0
1000122458,5,11,1,4,6,4,0
1000122459,6,14,2,5,7,18,0
1000122460,6,16,4,3,9,21,0
1000122461,3,16,1,8,7,21,0
1000122462,1,11,3,2,6,28,0
1000122463,1,16,7,4,5,13,0
1000122464,2,12,7,2,3,3,0
1000122465,3,12,2,8,2,24,0
1000122466,6,21,6,7,8,19,0
1000122467,2,16,8,1,7,5,0
1000122468,6,12,3,4,5,14,0
1000122469,4,15,9,3,3,16,0
1000122470,4,17,8,2,7,2,0
1000122471,3,18,8,5,5,28,0
1000122472,2,9,3,2,4,10,0
1000122473,3,21,8,8,5,5,0
1000122474,6,11,5,4,2,27,0
1000122475,6,15,5,3,7,13,0
1000122476,3,18,4,5,9,6,0
1000122477,3,11,1,3,7,30,0
1000122478,1,6,2,2,2,1,0
1000122479,4,18,5,4,9,21,0
1000122480,2,22,9,7,6,28,0
1000122481,3,19,5,7,7,1,0
1000122482,2,12,7,3,2,4,0
1000122483,3,11,3,4,4,16,0
1000122484,2,22,9,7,6,4,0
1000122485,1,19,9,2,8,24,0
1000122486,2,6,4,1,1,11,0
1000122487,6,10,2,6,2,3,0
1000122488,6,23,9,6,8,25,0
1000122489,1,24,7,8,9,3,0
1000122490,4,13,4,8,1,2,0
1000122491,3,14,4,6,4,12,0
1000122492,4,16,5,9,2,22,0
1000122493,1,9,3,3,3,5,0
1000122494,1,14,8,1,5,8,0
1000122495,2,10,4,1,5,22,0
1000122496,2,10,5,2,3,21,0
1000122497,3,11,1,7,3,6,0
1000122498,4,12,1,9,2,26,0
1000122499,2,19,9,2,8,20,0
1000122500,2,8,3,3,2,8,0
1000122501,3,9,3,1,5,24,0
1000122502,3,19,4,9,6,29,0
1000122503,6,19,9,1,9,2,0
1000122504,1,23,9,7,7,25,0
1000122505,5,12,2,6,4,19,0
1000122506,3,15,4,6,5,29,0
1000122507,1,6,2,1,3,11,0
1000122508,5,17,8,5,4,18,0
1000122509,6,18,9,8,1,11,0
1000122510,4,18,6,3,9,11,0
1000122511,5,13,7,5,1,8,0
1000122512,4,12,2,9,1,5,0
1000122513,1,15,4,8,3,2,0
1000122514,3,12,9,1,2,13,0
1000122515,2,14,5,7,2,29,0
1000122516,2,15,5,6,4,19,0
1000122517,3,13,9,2,2,2,0
1000122518,5,13,7,4,2,13,0
1000122519,1,19,9,9,1,4,0
1000122520,4,4,2,1,1,3,0
1000122521,1,14,8,5,1,5,0
1000122522,5,17,7,5,5,9,0
1000122523,3,7,4,1,2,29,0
1000122524,2,20,7,8,5,25,0
1000122525,2,15,5,5,5,18,0
1000122526,3,7,2,2,3,15,0
1000122527,5,14,5,8,1,7,0
1000122528,6,18,7,9,2,3,0
1000122529,6,12,4,1,7,28,0
1000122530,4,16,9,2,5,9,0
1000122531,4,10,1,4,5,11,0
1000122532,2,10,2,5,3,30,0
1000122533,5,17,4,9,4,30,0
1000122534,1,16,9,1,6,11,0
1000122535,4,13,4,8,1,11,0
1000122536,4,22,7,6,9,8,0
1000122537,5,15,8,2,5,23,0
1000122538,5,14,1,6,7,10,0
1000122539,6,13,1,9,3,9,0
1000122540,4,19,5,5,9,26,0
1000122541,3,14,5,7,2,3,0
1000122542,4,16,9,4,3,7,0
1000122543,6,12,7,1,4,29,0
1000122544,2,16,2,7,7,29,0
1000122545,3,17,6,2,9,22,0
1000122546,6,14,3,6,5,28,0
1000122547,1,19,7,3,9,27,0
1000122548,1,21,3,9,9,9,0
1000122549,1,17,7,8,2,8,0
1000122550,6,18,9,3,6,4,0
1000122551,5,11,2,5,4,7,0
1000122552,3,12,2,6,4,18,0
1000122553,1,19,5,5,9,8,0
1000122554,1,25,9,8,8,26,0
1000122555,3,23,8,6,9,10,0
1000122556,6,14,5,6,3,19,0
1000122557,4,13,3,9,1,9,0
1000122558,1,14,6,4,4,13,0
1000122559,6,17,9,3,5,18,0
1000122560,6,18,6,3,9,16,0
1000122561,2,18,5,4,9,19,0
1000122562,5,9,6,2,1,23,0
1000122563,3,8,5,2,1,12,0
1000122564,3,11,9,1,1,13,0
1000122565,3,17,3,8,6,29,0
1000122566,2,12,9,1,2,23,0
1000122567,5,15,3,8,4,20,0
1000122568,1,15,6,4,5,30,0
1000122569,5,14,7,5,2,1,0
1000122570,4,19,7,5,7,12,0
1000122571,4,8,3,4,1,9,0
1000122572,6,22,9,6,7,19,0
1000122573,3,14,8,5,1,7,0
1000122574,3,11,2,4,5,22,0
1000122575,6,19,9,2,8,1,0
1000122576,2,14,6,5,3,24,0
1000122577,6,10,7,2,1,27,0
1000122578,3,9,2,2,5,25,0
1000122579,5,17,4,4,9,9,0
1000122580,1,16,9,2,5,13,0
1000122581,3,16,8,7,1,23,0
1000122582,2,13,2,6,5,7,0
1000122583,6,7,1,2,4,12,0
1000122584,3,11,2,2,7,5,0
1000122585,2,19,9,6,4,24,0
1000122586,6,7,2,4,1,17,0
1000122587,2,9,5,1,3,22,0
1000122588,6,18,6,6,6,3,0
1000122589,4,12,7,1,4,8,0
1000122590,3,18,9,5,4,5,0
1000122591,6,26,8,9,9,10,0
1000122592,2,8,2,5,1,22,0
1000122593,6,19,6,8,5,4,0
1000122594,5,17,5,4,8,26,0
1000122595,2,13,5,3,5,30,0
1000122596,2,12,2,2,8,13,0
1000122597,3,19,9,5,5,21,0
1000122598,5,23,7,7,9,4,0
1000122599,1,15,4,2,9,2,0
1000122600,3,12,9,1,2,22,0
1000122601,4,15,5,3,7,8,0
1000122602,4,15,8,3,4,21,0
1000122603,4,6,4,1,1,6,0
1000122604,3,14,2,6,6,22,0
1000122605,1,13,3,1,9,16,0
1000122606,6,14,4,4,6,17,0
1000122607,5,14,2,4,8,29,0
1000122608,4,12,8,1,3,17,0
1000122609,2,21,4,8,9,6,0
1000122610,6,23,7,7,9,4,0
1000122611,2,17,4,5,8,8,0
1000122612,4,19,4,7,8,3,0
1000122613,5,15,5,6,4,13,0
1000122614,3,11,5,4,2,12,0
1000122615,5,10,3,4,3,14,0
1000122616,6,22,4,9,9,15,0
1000122617,6,15,8,1,6,21,0
1000122618,6,10,5,1,4,14,0
1000122619,6,19,8,2,9,15,0
1000122620,6,22,9,7,6,4,0
1000122621,2,13,2,3,8,14,0
1000122622,5,18,9,4,5,1,0
1000122623,5,16,5,2,9,7,0
1000122624,5,13,9,2,2,24,0
1000122625,4,13,2,4,7,1,0
1000122626,1,17,4,5,8,26,0
1000122627,1,18,7,5,6,2,0
1000122628,6,11,1,1,9,14,0
1000122629,3,8,1,5,2,16,0
1000122630,2,15,6,1,8,8,0
1000122631,2,17,3,5,9,6,0
1000122632,6,4,2,1,1,20,0
1000122633,1,18,4,9,5,28,0
1000122634,5,11,3,4,4,6,0
1000122635,5,16,1,8,7,20,0
1000122636,2,12,1,8,3,5,0
1000122637,3,12,6,1,5,9,0
1000122638,3,13,1,8,4,24,0
1000122639,2,14,3,5,6,24,0
1000122640,3,16,5,4,7,15,0
1000122641,4,7,2,2,3,2,0
1000122642,5,15,8,4,3,14,0
1000122643,3,14,7,3,4,3,0
1000122644,2,24,9,8,7,6,0
1000122645,6,15,7,5,3,10,0
1000122646,3,13,1,6,6,4,0
1000122647,4,16,6,9,1,5,0
1000122648,4,16,1,8,7,14,0
1000122649,5,10,2,4,4,25,0
1000122650,1,15,8,1,6,30,0
1000122651,2,8,1,3,4,27,0
1000122652,6,16,5,2,9,2,0
1000122653,6,15,2,9,4,15,0
1000122654,6,22,8,9,5,30,0
1000122655,4,19,8,7,4,11,0
1000122656,2,17,4,6,7,24,0
1000122657,2,16,9,1,6,20,0
1000122658,3,16,4,7,5,14,0
1000122659,2,15,6,2,7,29,0
1000122660,2,15,5,1,9,20,0
1000122661,3,19,3,7,9,4,0
1000122662,1,15,4,5,6,2,0
1000122663,3,19,8,9,2,14,0
1000122664,3,10,2,2,6,26,0
1000122665,6,20,6,8,6,10,0
1000122666,2,13,3,8,2,10,0
1000122667,5,15,2,4,9,23,0
1000122668,1,10,3,6,1,13,0
1000122669,5,18,2,8,8,19,0
1000122670,4,9,1,4,4,17,0
1000122671,6,15,6,2,7,19,0
1000122672,4,16,8,7,1,18,0
1000122673,2,18,5,4,9,30,0
1000122674,1,8,1,2,5,4,0
1000122675,3,12,7,4,1,27,0
1000122676,4,16,1,8,7,27,0
1000122677,3,11,2,3,6,4,0
1000122678,2,20,2,9,9,25,0
1000122679,6,19,8,9,2,21,0
1000122680,2,19,4,6,9,24,0
1000122681,5,15,1,7,7,19,0
1000122682,1,18,8,9,1,20,0
1000122683,4,13,4,8,1,27,0
1000122684,6,14,4,4,6,23,0
1000122685,3,13,4,5,4,12,0
1000122686,6,21,9,5,7,18,0
1000122687,6,13,3,1,9,4,0
1000122688,5,15,6,1,8,26,0
1000122689,5,17,9,1,7,13,0
1000122690,6,12,6,2,4,14,0
1000122691,4,13,5,5,3,21,0
1000122692,1,13,5,5,3,8,0
1000122693,4,16,6,1,9,22,0
1000122694,6,11,7,1,3,18,0
1000122695,2,16,4,9,3,23,0
1000122696,3,13,3,2,8,28,0
1000122697,3,14,2,4,8,21,0
1000122698,4,17,5,9,3,22,0
1000122699,3,18,4,8,6,6,0
1000122700,6,17,3,8,6,14,0
1000122701,3,8,2,1,5,30,0
1000122702,2,20,7,8,5,5,0
1000122703,4,16,1,9,6,1,0
1000122704,3,14,1,9,4,6,0
1000122705,3,20,2,9,9,11,0
1000122706,1,7,2,3,2,15,0
1000122707,1,16,3,5,8,8,0
1000122708,5,13,5,4,4,26,0
1000122709,4,19,9,2,8,26,0
1000122710,3,21,8,5,8,18,0
1000122711,2,18,6,8,4,25,0
1000122712,6,18,1,9,8,28,0
1000122713,2,12,1,9,2,3,0
1000122714,3,18,6,4,8,3,0
1000122715,1,12,4,5,3,28,0
1000122716,6,9,2,3,4,5,0
1000122717,6,5,3,1,1,23,0
1000122718,1,12,4,1,7,1,0
1000122719,6,16,8,6,2,5,0
1000122720,3,14,7,4,3,28,0
1000122721,1,16,8,7,1,19,0
1000122722,1,12,7,2,3,18,0
1000122723,4,14,9,2,3,28,0
1000122724,3,19,6,9,4,19,0
1000122725,4,13,8,1,4,17,0
1000122726,6,16,9,4,3,23,0
1000122727,3,12,4,4,4,19,0
1000122728,2,16,7,8,1,6,0
1000122729,4,17,7,2,8,6,0
1000122730,6,12,4,7,1,15,0
1000122731,1,14,5,2,7,29,0
1000122732,6,11,2,1,8,27,0
1000122733,1,12,2,4,6,9,0
1000122734,1,16,9,2,5,18,0
1000122735,4,19,7,4,8,2,0
